Org,Site ID,Name in EC,Latitude,Longitude,Watercourse (if known),"Catchment (or ""tbc"")"
CPRE,CPRE267,"CPRE267: Gad Brook, Gad Bridge Weobley",52.164255,-2.857177,Misc,Stretford Bk - source to conf R Arrow
CPRE,CPRE268,"CPRE268: Gad Brook, Weobley Marsh",52.15404,-2.855112,Misc,Stretford Bk - source to conf R Arrow
CPRE,CPRE269,"CPRE269: Newbridge Brook, Weobley",52.164281,-2.883988,Newbridge Brook,Stretford Bk - source to conf R Arrow
CPRE,CPRE270,CPRE270: River Lugg (New Bridge) Leominster,52.235487,-2.744649,Lugg,Lugg - conf Norton Bk to conf R Arrow
CPRE,CPRE271,CPRE271: Kenwater/Lugg Leominster,52.230366,-2.73672,Misc,Lugg - conf Norton Bk to conf R Arrow
CPRE,CPRE272,CPRE272: Mowley Brook,52.235648,-2.953378,Mowley Brook,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE273,CPRE273: Arrow at Titley,52.220744,-2.984034,Arrow,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE274,CPRE274: Arrow at Kington,52.201932,-3.026905,Arrow,Arrow - conf Gladestry Bk to conf Gilwern Bk
CPRE,CPRE275,CPRE275: Gilwern Brook at Kington,52.20646,-3.039137,Gilwern Brook,Gilwern Bk - source to conf R Arrow
CPRE,CPRE276,CPRE276: Arrow at Hergest Bridge,52.189562,-3.054624,Arrow,Arrow - conf Gladestry Bk to conf Gilwern Bk
CPRE,CPRE277,CPRE277: Gladestry Brook at Gladestry,52.188241,-3.12599,Gladestry Brook,Gladestry Bk - source to conf R Arrow
CPRE,CPRE278,"CPRE278: Almeley Brook at Upcott, Almeley",52.159107,-2.980727,Almeley Brook,Letton Lake Bk - source to conf R Wye
CPRE,CPRE326,"CPRE326: River Teme, Knucklas Bridge",52.368952,-3.101302,Teme,[Teme west area]
CPRE,CPRE327,"CPRE327: River Teme, Hawthorns Felindre",52.430163,-3.23114,Teme,[Teme west area]
CPRE,CPRE328,"CPRE328: River Teme, Station Bridge Knighton",52.277121,-2.67271,Teme,[Teme east area]
CPRE,CPRE329,"CPRE329: River Teme, Dutlas bridge",52.39605,-3.160675,Teme,[Teme west area]
FOLW,FOLW011,FOLW011: Cat Brook by the chapel,51.705427,-2.682132,Cat Brook,[Brockweir area]
FOLW,FOLW013,FOLW013: Mork Brook FB by the Wye,51.740052,-2.671068,Mork Brook,[Brockweir area]
FOLW,FOLW015,FOLW015: Whitebrook Low,51.758368,-2.671613,White Brook,Wye - conf Walford Bk to Bigsweir Br
FOLW,FOLW016,FOLW016: Whitebrook Higher up,51.755953,-2.677032,White Brook,Wye - conf Walford Bk to Bigsweir Br
FOLW,FOLW017,"FOLW017: Bigwell Fishery, Redbrook",51.782417,-2.666057,Bigwell Fishery,Valley Bk - source to conf R Wye
FOLW,FOLW018,"FOLW018: Valley Brook, Redbrook",51.78256,-2.66718,Valley Brook,Valley Bk - source to conf R Wye
FOLW,FOLW019,"FOLW019: Red Brook, Redbrook",51.78915,-2.673027,Red Brook,Wye - conf Walford Bk to Bigsweir Br
FOLW,FOLW020,FOLW020: Trothy by Troy House,51.799739,-2.713329,Trothy,Trothy - conf Llymon Bk to conf R Wye
FOLW,FOLW021,FOLW021: Trothy by Millbrook Garden Centre,51.797346,-2.722168,Trothy,Trothy - conf Llymon Bk to conf R Wye
FOLW,FOLW022,FOLW022: Monnow at Osbaston,51.819946,-2.721911,Monnow,Monnow - conf Afon Honddu to conf R Wye
FOLW,FOLW023,FOLW023: Monnow at Llangua,51.92726,-2.89024,Monnow,Monnow - conf Afon Honddu to conf R Wye
FOLW,FOLW024,FOLW024: Monnow at Tregate Bridge,51.851923,-2.760525,Monnow,Monnow - conf Afon Honddu to conf R Wye
